Region,State,Order Date,Order_Year,Order_Month,Order_Day,Customer Segment,Product Category,Sales
East,Maine,2012-01-09,2012,1,9,Small Business,Office Supplies,64.11
Central,Wisconsin,2012-01-09,2012,1,9,Home Office,Office Supplies,117.88
East,Pennsylvania,2012-01-09,2012,1,9,Corporate,Technology,107.95
Central,Michigan,2012-01-10,2012,1,10,Consumer,Furniture,2137.1
Central,Texas,2012-01-10,2012,1,10,Corporate,Office Supplies,63.14
West,Utah,2012-01-10,2012,1,10,Corporate,Office Supplies,112.81
East,Pennsylvania,2012-01-10,2012,1,10,Consumer,Technology,164.78
East,Vermont,2012-01-10,2012,1,10,Corporate,Technology,1177.5
Central,Texas,2012-01-10,2012,1,10,Corporate,Furniture,199.12
Central,MO,2012-01-10,2012,1,10,Home Office,Office Supplies,523.58
Central,Michigan,2012-01-10,2012,1,10,Consumer,Office Supplies,571.17
Central,Minnesota,2012-01-10,2012,1,10,Corporate,Office Supplies,4906.85
Central,MO,2012-01-10,2012,1,10,Home Office,Technology,1307.35
South,Kentucky,2012-01-10,2012,1,10,Corporate,Furniture,1009.42
South,Kentucky,2012-01-10,2012,1,10,Corporate,Technology,15137.11
East,New Jersey,2012-01-11,2012,1,11,Small Business,Office Supplies,216.87
East,MA,2012-01-11,2012,1,11,Small Business,Technology,4531.34
East,MA,2012-01-11,2012,1,11,Small Business,Furniture,574.5
East,MA,2012-01-11,2012,1,11,Small Business,Office Supplies,262.94
Central,Illinois,2012-01-11,2012,1,11,Corporate,Technology,1143.45
East,New Jersey,2012-01-11,2012,1,11,Small Business,Furniture,138.17
South,Tennessee,2012-01-11,2012,1,11,Consumer,Technology,6991.65
South,Kentucky,2012-01-12,2012,1,12,Corporate,Office Supplies,1030.09
West,Colorado,2012-01-12,2012,1,12,Home Office,Furniture,4080.3
East,Maryland,2012-01-12,2012,1,12,Consumer,Office Supplies,58.48
South,Kentucky,2012-01-12,2012,1,12,Consumer,Technology,401.14
East,Maryland,2012-01-12,2012,1,12,Consumer,Furniture,15963.09
Central,MO,2012-01-12,2012,1,12,Corporate,Office Supplies,1603.27
West,Colorado,2012-01-12,2012,1,12,Home Office,Office Supplies,260.79
West,Colorado,2012-01-12,2012,1,12,Home Office,Office Supplies,90.35
East,Maryland,2012-01-13,2012,1,13,Home Office,Furniture,39.23
West,California,2012-01-13,2012,1,13,Corporate,Office Supplies,660.99
South,Florida,2012-01-13,2012,1,13,Consumer,Office Supplies,297.76
West,California,2012-01-13,2012,1,13,Corporate,Technology,445.34
West,Idaho,2012-01-14,2012,1,14,Corporate,Furniture,577.89
South,Tennessee,2012-01-14,2012,1,14,Small Business,Office Supplies,2690.84
East,Pennsylvania,2012-01-14,2012,1,14,Small Business,Technology,7202.94
South,Tennessee,2012-01-14,2012,1,14,Small Business,Office Supplies,733.55
South,Tennessee,2012-01-14,2012,1,14,Small Business,Office Supplies,62.6
West,Idaho,2012-01-14,2012,1,14,Corporate,Technology,9920.85
West,Idaho,2012-01-14,2012,1,14,Corporate,Furniture,7484.31
South,Tennessee,2012-01-14,2012,1,14,Small Business,Furniture,38.71
East,Pennsylvania,2012-01-14,2012,1,14,Small Business,Office Supplies,245.82
East,Pennsylvania,2012-01-14,2012,1,14,Small Business,Office Supplies,217.68
West,California,2012-01-14,2012,1,14,Home Office,Technology,2364.29
West,California,2012-01-14,2012,1,14,Home Office,Office Supplies,112.57
Central,Michigan,2012-01-15,2012,1,15,Corporate,Office Supplies,447.89
South,Mississippi,2012-01-15,2012,1,15,Home Office,Furniture,201.06
South,Tennessee,2012-01-15,2012,1,15,Consumer,Office Supplies,24.76
East,Pennsylvania,2012-01-15,2012,1,15,Small Business,Office Supplies,51.27
Central,Illinois,2012-01-15,2012,1,15,Home Office,Office Supplies,217.0
Central,Illinois,2012-01-15,2012,1,15,Home Office,Office Supplies,296.13
East,Ohio,2012-01-16,2012,1,16,Corporate,Office Supplies,62.78
Central,Illinois,2012-01-16,2012,1,16,Corporate,Office Supplies,249.02
Central,Illinois,2012-01-16,2012,1,16,Corporate,Office Supplies,78.49
South,Arkansas,2012-01-16,2012,1,16,Home Office,Office Supplies,503.75
East,New York,2012-01-16,2012,1,16,Small Business,Furniture,373.27
East,Maryland,2012-01-16,2012,1,16,Consumer,Furniture,679.6
East,Maryland,2012-01-16,2012,1,16,Consumer,Office Supplies,257.42
East,New York,2012-01-16,2012,1,16,Small Business,Office Supplies,76.48
South,Tennessee,2012-01-16,2012,1,16,Corporate,Furniture,832.14
East,Ohio,2012-01-16,2012,1,16,Corporate,Technology,2836.0505
South,Florida,2012-01-17,2012,1,17,Corporate,Office Supplies,566.39
Central,Illinois,2012-01-17,2012,1,17,Small Business,Office Supplies,1143.49
Central,South Dakota,2012-01-17,2012,1,17,Corporate,Office Supplies,280.43
South,Tennessee,2012-01-17,2012,1,17,Home Office,Office Supplies,1101.28
East,Rhode Island,2012-01-17,2012,1,17,Small Business,Office Supplies,7871.91
South,Mississippi,2012-01-17,2012,1,17,Home Office,Office Supplies,49.76
South,Florida,2012-01-17,2012,1,17,Corporate,Office Supplies,299.08
South,Tennessee,2012-01-17,2012,1,17,Corporate,Office Supplies,130.11
Central,Illinois,2012-01-17,2012,1,17,Small Business,Office Supplies,78.08
South,Tennessee,2012-01-17,2012,1,17,Corporate,Technology,337.3395
South,Alabama,2012-01-17,2012,1,17,Corporate,Technology,528.54
South,Mississippi,2012-01-17,2012,1,17,Home Office,Office Supplies,196.22
South,Florida,2012-01-18,2012,1,18,Corporate,Office Supplies,2842.54
South,Mississippi,2012-01-18,2012,1,18,Corporate,Office Supplies,1379.1
South,Mississippi,2012-01-18,2012,1,18,Corporate,Office Supplies,141.9
South,Mississippi,2012-01-18,2012,1,18,Corporate,Office Supplies,278.76
East,Pennsylvania,2012-01-18,2012,1,18,Corporate,Furniture,8875.17
East,Pennsylvania,2012-01-18,2012,1,18,Corporate,Technology,331.21
Central,Indiana,2012-01-18,2012,1,18,Corporate,Office Supplies,672.46
West,New Mexico,2012-01-19,2012,1,19,Consumer,Office Supplies,108.15
East,Vermont,2012-01-19,2012,1,19,Consumer,Technology,2215.96
East,Ohio,2012-01-19,2012,1,19,Consumer,Office Supplies,3568.45
East,MA,2012-01-19,2012,1,19,Consumer,Office Supplies,98.66
South,Florida,2012-01-20,2012,1,20,Corporate,Office Supplies,2167.05
Central,Texas,2012-01-20,2012,1,20,Small Business,Furniture,3970.33
West,Utah,2012-01-21,2012,1,21,Home Office,Furniture,11336.37
West,Washington,2012-01-21,2012,1,21,Corporate,Furniture,4152.55
East,Pennsylvania,2012-01-21,2012,1,21,Corporate,Office Supplies,4407.03
East,Pennsylvania,2012-01-21,2012,1,21,Corporate,Office Supplies,173.22
West,Washington,2012-01-21,2012,1,21,Corporate,Office Supplies,312.26
West,Utah,2012-01-21,2012,1,21,Home Office,Office Supplies,354.13
East,Ohio,2012-01-21,2012,1,21,Home Office,Technology,335.59
East,Ohio,2012-01-21,2012,1,21,Small Business,Furniture,1251.18
Central,Iowa,2012-01-21,2012,1,21,Corporate,Office Supplies,1482.01
East,Ohio,2012-01-21,2012,1,21,Home Office,Office Supplies,97.74
West,Utah,2012-01-21,2012,1,21,Home Office,Office Supplies,751.94
East,New York,2012-01-21,2012,1,21,Small Business,Office Supplies,139.98
South,Florida,2012-01-21,2012,1,21,Consumer,Office Supplies,147.71
West,Colorado,2012-01-21,2012,1,21,Corporate,Office Supplies,33.44
Central,Michigan,2012-01-22,2012,1,22,Corporate,Furniture,206.04
Central,Minnesota,2012-01-22,2012,1,22,Home Office,Office Supplies,562.8
South,Florida,2012-01-22,2012,1,22,Small Business,Furniture,8865.1
South,Alabama,2012-01-22,2012,1,22,Home Office,Furniture,4039.72
South,Alabama,2012-01-22,2012,1,22,Home Office,Technology,2570.944
South,Tennessee,2012-01-22,2012,1,22,Home Office,Technology,187.37
South,Alabama,2012-01-22,2012,1,22,Home Office,Technology,4584.73
East,Ohio,2012-01-22,2012,1,22,Corporate,Office Supplies,1160.59
South,Florida,2012-01-22,2012,1,22,Small Business,Office Supplies,134.83
Central,Minnesota,2012-01-22,2012,1,22,Home Office,Furniture,28180.08
Central,Kansas,2012-01-23,2012,1,23,Consumer,Office Supplies,136.41
South,Virginia,2012-01-23,2012,1,23,Consumer,Office Supplies,1312.65
West,Washington,2012-01-23,2012,1,23,Small Business,Technology,1383.2
West,Colorado,2012-01-24,2012,1,24,Corporate,Office Supplies,359.65
Central,Indiana,2012-01-24,2012,1,24,Small Business,Furniture,6654.39
Central,Wisconsin,2012-01-24,2012,1,24,Home Office,Office Supplies,294.68
Central,Indiana,2012-01-24,2012,1,24,Small Business,Technology,4429.69
East,New Jersey,2012-01-24,2012,1,24,Small Business,Office Supplies,318.31
West,California,2012-01-25,2012,1,25,Corporate,Furniture,11.08
South,South Carolina,2012-01-25,2012,1,25,Consumer,Technology,1532.482
South,Florida,2012-01-26,2012,1,26,Corporate,Furniture,403.71
Central,Iowa,2012-01-26,2012,1,26,Consumer,Furniture,447.33
South,Florida,2012-01-26,2012,1,26,Corporate,Office Supplies,1243.45
South,Florida,2012-01-26,2012,1,26,Corporate,Technology,4587.3
South,Arkansas,2012-01-26,2012,1,26,Small Business,Furniture,7332.088
East,Pennsylvania,2012-01-26,2012,1,26,Consumer,Furniture,4321.63
Central,Michigan,2012-01-26,2012,1,26,Consumer,Office Supplies,15.38
East,Pennsylvania,2012-01-26,2012,1,26,Consumer,Office Supplies,67.14
South,Arkansas,2012-01-26,2012,1,26,Small Business,Technology,392.77
Central,North Dakota,2012-01-27,2012,1,27,Corporate,Office Supplies,100.87
Central,Wisconsin,2012-01-27,2012,1,27,Home Office,Technology,6121.1985
East,Ohio,2012-01-27,2012,1,27,Corporate,Office Supplies,1863.02
South,Florida,2012-01-27,2012,1,27,Consumer,Technology,377.213
East,Ohio,2012-01-27,2012,1,27,Corporate,Office Supplies,55.89
West,Utah,2012-01-28,2012,1,28,Home Office,Office Supplies,1065.26
West,Utah,2012-01-28,2012,1,28,Home Office,Office Supplies,267.53
West,California,2012-01-28,2012,1,28,Corporate,Office Supplies,67.49
West,California,2012-01-28,2012,1,28,Corporate,Office Supplies,6.76
West,Arizona,2012-01-28,2012,1,28,Corporate,Office Supplies,179.99
West,Arizona,2012-01-28,2012,1,28,Corporate,Office Supplies,190.45
Central,Nebraska,2012-01-29,2012,1,29,Corporate,Furniture,1042.63
South,Virginia,2012-01-29,2012,1,29,Consumer,Technology,1122.6375
South,Virginia,2012-01-29,2012,1,29,Corporate,Office Supplies,16147.61
Central,Illinois,2012-01-30,2012,1,30,Corporate,Technology,361.65
Central,Illinois,2012-01-30,2012,1,30,Corporate,Technology,1285.37
Central,Illinois,2012-01-30,2012,1,30,Consumer,Technology,16066.85
Central,Minnesota,2012-01-31,2012,1,31,Home Office,Furniture,6244.18
Central,Minnesota,2012-01-31,2012,1,31,Home Office,Office Supplies,239.75
East,West Virginia,2012-01-31,2012,1,31,Corporate,Furniture,9141.64
East,West Virginia,2012-01-31,2012,1,31,Corporate,Office Supplies,49.81
South,Florida,2012-01-31,2012,1,31,Corporate,Office Supplies,257.91
East,Pennsylvania,2012-01-31,2012,1,31,Home Office,Office Supplies,451.44
East,Pennsylvania,2012-01-31,2012,1,31,Home Office,Office Supplies,138.55
South,Arkansas,2012-01-31,2012,1,31,Corporate,Technology,2188.06
Central,Minnesota,2012-01-31,2012,1,31,Home Office,Office Supplies,150.2
South,Arkansas,2012-02-01,2012,2,1,Consumer,Technology,3279.01
Central,Indiana,2012-02-01,2012,2,1,Corporate,Technology,1697.44
Central,Indiana,2012-02-01,2012,2,1,Corporate,Office Supplies,55.45
West,Idaho,2012-02-02,2012,2,2,Corporate,Office Supplies,44.85
East,Ohio,2012-02-02,2012,2,2,Consumer,Furniture,363.92
East,Ohio,2012-02-02,2012,2,2,Corporate,Furniture,4713.25
East,Vermont,2012-02-02,2012,2,2,Corporate,Furniture,5718.85
Central,Indiana,2012-02-02,2012,2,2,Corporate,Technology,3152.75
Central,Indiana,2012-02-02,2012,2,2,Corporate,Furniture,3609.88
West,Colorado,2012-02-03,2012,2,3,Home Office,Furniture,181.39
West,Colorado,2012-02-03,2012,2,3,Home Office,Technology,846.0815
Central,Minnesota,2012-02-04,2012,2,4,Home Office,Technology,4610.35
South,Florida,2012-02-04,2012,2,4,Home Office,Furniture,6089.05
South,South Carolina,2012-02-04,2012,2,4,Corporate,Office Supplies,179.22
South,Florida,2012-02-04,2012,2,4,Home Office,Office Supplies,74.34
South,Florida,2012-02-04,2012,2,4,Home Office,Office Supplies,228.8
Central,Kansas,2012-02-04,2012,2,4,Small Business,Office Supplies,671.03
Central,MO,2012-02-04,2012,2,4,Small Business,Technology,69.66
South,Florida,2012-02-04,2012,2,4,Consumer,Office Supplies,118.66
South,Florida,2012-02-04,2012,2,4,Consumer,Office Supplies,213.74
South,South Carolina,2012-02-04,2012,2,4,Corporate,Office Supplies,237.15
South,South Carolina,2012-02-04,2012,2,4,Corporate,Office Supplies,71.86
Central,Minnesota,2012-02-04,2012,2,4,Home Office,Furniture,610.07
Central,Indiana,2012-02-04,2012,2,4,Corporate,Office Supplies,173.09
Central,Minnesota,2012-02-04,2012,2,4,Home Office,Office Supplies,181.49
West,California,2012-02-04,2012,2,4,Home Office,Office Supplies,7.01
Central,Indiana,2012-02-04,2012,2,4,Corporate,Technology,1441.57
South,Florida,2012-02-05,2012,2,5,Home Office,Office Supplies,221.33
Central,Iowa,2012-02-05,2012,2,5,Small Business,Office Supplies,6133.18
West,California,2012-02-05,2012,2,5,Small Business,Technology,15260.78
West,Arizona,2012-02-05,2012,2,5,Corporate,Furniture,150.24
West,California,2012-02-05,2012,2,5,Small Business,Office Supplies,540.41
Central,Iowa,2012-02-05,2012,2,5,Small Business,Office Supplies,139.86
Central,Iowa,2012-02-05,2012,2,5,Small Business,Technology,926.585
South,South Carolina,2012-02-06,2012,2,6,Home Office,Furniture,6589.304
South,Georgia,2012-02-06,2012,2,6,Small Business,Furniture,950.464
South,Georgia,2012-02-06,2012,2,6,Small Business,Technology,705.687
East,New Jersey,2012-02-06,2012,2,6,Small Business,Technology,1838.18
Central,Nebraska,2012-02-06,2012,2,6,Corporate,Furniture,7548.65
Central,Nebraska,2012-02-06,2012,2,6,Corporate,Technology,1318.8685
South,Tennessee,2012-02-07,2012,2,7,Corporate,Office Supplies,1398.87
South,Arkansas,2012-02-07,2012,2,7,Corporate,Office Supplies,261.85
South,Arkansas,2012-02-07,2012,2,7,Corporate,Office Supplies,320.93
West,California,2012-02-07,2012,2,7,Consumer,Technology,2813.8485
West,California,2012-02-07,2012,2,7,Consumer,Office Supplies,630.14
East,Maryland,2012-02-08,2012,2,8,Consumer,Technology,718.03
East,New York,2012-02-08,2012,2,8,Home Office,Office Supplies,607.42
West,Montana,2012-02-08,2012,2,8,Corporate,Technology,714.46
West,Wyoming,2012-02-08,2012,2,8,Consumer,Furniture,2026.01
West,Washington,2012-02-09,2012,2,9,Corporate,Furniture,10318.72
Central,Texas,2012-02-10,2012,2,10,Corporate,Office Supplies,138.24
South,Alabama,2012-02-10,2012,2,10,Home Office,Office Supplies,473.67
South,Florida,2012-02-10,2012,2,10,Corporate,Technology,104.46
South,Florida,2012-02-10,2012,2,10,Corporate,Furniture,951.33
South,Florida,2012-02-10,2012,2,10,Small Business,Furniture,63.85
Central,Texas,2012-02-11,2012,2,11,Consumer,Office Supplies,1002.73
South,North Carolina,2012-02-11,2012,2,11,Consumer,Technology,8475.962
South,North Carolina,2012-02-11,2012,2,11,Consumer,Technology,3015.494
South,Florida,2012-02-11,2012,2,11,Corporate,Furniture,9757.48
West,California,2012-02-11,2012,2,11,Consumer,Technology,13253.93
Central,Michigan,2012-02-12,2012,2,12,Consumer,Office Supplies,206.54
Central,Texas,2012-02-12,2012,2,12,Small Business,Office Supplies,124.84
Central,Wisconsin,2012-02-12,2012,2,12,Home Office,Office Supplies,19.32
East,Ohio,2012-02-12,2012,2,12,Home Office,Office Supplies,127.45
East,Ohio,2012-02-12,2012,2,12,Home Office,Office Supplies,92.18
Central,Texas,2012-02-12,2012,2,12,Home Office,Office Supplies,2367.99
East,New York,2012-02-12,2012,2,12,Small Business,Technology,3594.7435
East,New York,2012-02-12,2012,2,12,Small Business,Office Supplies,197.61
West,Arizona,2012-02-12,2012,2,12,Consumer,Office Supplies,240.52
East,New York,2012-02-12,2012,2,12,Small Business,Office Supplies,68.92
Central,Texas,2012-02-12,2012,2,12,Home Office,Technology,3220.58
Central,Texas,2012-02-12,2012,2,12,Small Business,Office Supplies,103.62
South,Florida,2012-02-13,2012,2,13,Corporate,Office Supplies,332.55
Central,Minnesota,2012-02-13,2012,2,13,Home Office,Technology,3699.22
East,Pennsylvania,2012-02-13,2012,2,13,Home Office,Furniture,5483.96
Central,Michigan,2012-02-13,2012,2,13,Home Office,Furniture,8549.04
Central,Minnesota,2012-02-13,2012,2,13,Home Office,Office Supplies,48.93
West,California,2012-02-14,2012,2,14,Consumer,Furniture,6686.344
South,North Carolina,2012-02-14,2012,2,14,Consumer,Office Supplies,1003.43
West,California,2012-02-14,2012,2,14,Home Office,Furniture,2651.21
Central,Oklahoma,2012-02-14,2012,2,14,Home Office,Furniture,256.77
Central,Indiana,2012-02-15,2012,2,15,Consumer,Furniture,18824.42
West,California,2012-02-15,2012,2,15,Consumer,Furniture,2548.3
Central,Indiana,2012-02-15,2012,2,15,Consumer,Office Supplies,93.05
Central,Indiana,2012-02-15,2012,2,15,Consumer,Office Supplies,154.13
West,California,2012-02-15,2012,2,15,Consumer,Technology,4846.74
South,Florida,2012-02-15,2012,2,15,Small Business,Office Supplies,47.12
South,Florida,2012-02-15,2012,2,15,Small Business,Office Supplies,62.89
East,New York,2012-02-15,2012,2,15,Corporate,Office Supplies,136.24
West,Washington,2012-02-16,2012,2,16,Small Business,Office Supplies,129.53
Central,Texas,2012-02-16,2012,2,16,Small Business,Office Supplies,208.83
West,Idaho,2012-02-16,2012,2,16,Home Office,Office Supplies,180.39
Central,Texas,2012-02-16,2012,2,16,Small Business,Technology,228.3
Central,Texas,2012-02-16,2012,2,16,Home Office,Technology,9862.51
Central,Texas,2012-02-16,2012,2,16,Home Office,Office Supplies,311.66
West,Utah,2012-02-17,2012,2,17,Consumer,Office Supplies,242.46
West,Utah,2012-02-17,2012,2,17,Consumer,Furniture,607.77
West,Utah,2012-02-17,2012,2,17,Consumer,Furniture,954.57
West,California,2012-02-17,2012,2,17,Corporate,Office Supplies,16.81
West,Utah,2012-02-17,2012,2,17,Consumer,Technology,8767.62
Central,Illinois,2012-02-18,2012,2,18,Corporate,Furniture,1749.64
Central,Illinois,2012-02-18,2012,2,18,Corporate,Furniture,10554.63
West,California,2012-02-19,2012,2,19,Small Business,Office Supplies,158.62
Central,Iowa,2012-02-19,2012,2,19,Corporate,Office Supplies,185.61
Central,Iowa,2012-02-19,2012,2,19,Corporate,Office Supplies,10.96
Central,Iowa,2012-02-19,2012,2,19,Corporate,Office Supplies,226.65
West,California,2012-02-19,2012,2,19,Corporate,Office Supplies,373.13
West,Utah,2012-02-19,2012,2,19,Consumer,Technology,1838.19
Central,Illinois,2012-02-20,2012,2,20,Small Business,Furniture,491.93
East,Ohio,2012-02-20,2012,2,20,Consumer,Office Supplies,180.48
South,Florida,2012-02-20,2012,2,20,Corporate,Furniture,479.13
East,Ohio,2012-02-20,2012,2,20,Consumer,Furniture,350.48
East,Ohio,2012-02-20,2012,2,20,Consumer,Office Supplies,159.89
Central,Illinois,2012-02-20,2012,2,20,Small Business,Office Supplies,241.1
Central,Illinois,2012-02-21,2012,2,21,Home Office,Office Supplies,199.39
East,MA,2012-02-21,2012,2,21,Small Business,Technology,901.81
Central,Illinois,2012-02-21,2012,2,21,Home Office,Furniture,2770.35
West,Colorado,2012-02-22,2012,2,22,Corporate,Technology,19100.45
West,Oregon,2012-02-22,2012,2,22,Corporate,Office Supplies,1633.37
Central,Kansas,2012-02-22,2012,2,22,Consumer,Technology,132.36
Central,Kansas,2012-02-22,2012,2,22,Consumer,Furniture,1498.46
South,Kentucky,2012-02-23,2012,2,23,Corporate,Office Supplies,467.4
Central,Texas,2012-02-23,2012,2,23,Corporate,Office Supplies,1025.02
Central,Minnesota,2012-02-23,2012,2,23,Home Office,Office Supplies,834.81
Central,Texas,2012-02-23,2012,2,23,Corporate,Furniture,240.87
Central,Wisconsin,2012-02-24,2012,2,24,Home Office,Furniture,14740.51
East,New York,2012-02-24,2012,2,24,Corporate,Office Supplies,580.46
Central,Wisconsin,2012-02-24,2012,2,24,Home Office,Office Supplies,3.77
East,Maine,2012-02-24,2012,2,24,Small Business,Office Supplies,2545.89
South,Florida,2012-02-25,2012,2,25,Corporate,Office Supplies,305.76
South,Florida,2012-02-25,2012,2,25,Corporate,Technology,25.48
Central,Minnesota,2012-02-25,2012,2,25,Corporate,Furniture,1140.26
West,California,2012-02-25,2012,2,25,Corporate,Furniture,1102.3
Central,Minnesota,2012-02-25,2012,2,25,Corporate,Office Supplies,2645.8
West,California,2012-02-26,2012,2,26,Consumer,Office Supplies,31.36
Central,North Dakota,2012-02-26,2012,2,26,Corporate,Office Supplies,990.1
East,Connecticut,2012-02-26,2012,2,26,Home Office,Office Supplies,125.84
West,Washington,2012-02-26,2012,2,26,Consumer,Technology,10281.79
South,Kentucky,2012-02-26,2012,2,26,Home Office,Technology,606.3985
Central,North Dakota,2012-02-26,2012,2,26,Corporate,Office Supplies,127.33
East,Connecticut,2012-02-26,2012,2,26,Home Office,Office Supplies,803.04
West,Washington,2012-02-26,2012,2,26,Consumer,Technology,184.35
East,Maine,2012-02-26,2012,2,26,Home Office,Technology,3637.728
Central,Texas,2012-02-27,2012,2,27,Corporate,Office Supplies,11613.13
South,Arkansas,2012-02-27,2012,2,27,Home Office,Technology,334.89
West,Utah,2012-02-27,2012,2,27,Corporate,Technology,1685.941
South,Kentucky,2012-02-27,2012,2,27,Corporate,Furniture,1372.14
Central,Illinois,2012-02-27,2012,2,27,Corporate,Technology,71.47
West,California,2012-02-28,2012,2,28,Corporate,Technology,2823.037
South,Florida,2012-02-28,2012,2,28,Consumer,Office Supplies,1419.83
West,California,2012-02-28,2012,2,28,Corporate,Technology,187.8
West,California,2012-02-28,2012,2,28,Corporate,Office Supplies,1979.47
Central,Indiana,2012-03-01,2012,3,1,Corporate,Office Supplies,327.61
Central,Texas,2012-03-01,2012,3,1,Corporate,Office Supplies,434.77
South,Arkansas,2012-03-01,2012,3,1,Home Office,Technology,1409.0875
South,Arkansas,2012-03-01,2012,3,1,Home Office,Technology,667.36
South,Arkansas,2012-03-01,2012,3,1,Home Office,Furniture,32.37
Central,Wisconsin,2012-03-01,2012,3,1,Home Office,Technology,866.66
South,Alabama,2012-03-01,2012,3,1,Corporate,Technology,3550.28
